time,flow,hour,day_of_week,is_holiday,neighbor_flow
2018-01-01 00:00:00,62.0,0,0,1,67.0
2018-01-01 00:05:00,61.0,0,0,1,57.0
2018-01-01 00:10:00,71.0,0,0,1,50.0
2018-01-01 00:15:00,86.0,0,0,1,80.0
2018-01-01 00:20:00,103.0,0,0,1,74.0
2018-01-01 00:25:00,114.0,0,0,1,123.0
2018-01-01 00:30:00,127.0,0,0,1,111.0
2018-01-01 00:35:00,144.0,0,0,1,107.0
2018-01-01 00:40:00,140.0,0,0,1,125.0
2018-01-01 00:45:00,164.0,0,0,1,107.0
2018-01-01 00:50:00,143.0,0,0,1,93.0
2018-01-01 00:55:00,142.0,0,0,1,101.0
2018-01-01 01:00:00,145.0,1,0,1,129.0
2018-01-01 01:05:00,162.0,1,0,1,116.0
2018-01-01 01:10:00,126.0,1,0,1,109.0
2018-01-01 01:15:00,135.0,1,0,1,141.0
2018-01-01 01:20:00,138.0,1,0,1,142.0
2018-01-01 01:25:00,114.0,1,0,1,108.0
2018-01-01 01:30:00,156.0,1,0,1,104.0
2018-01-01 01:35:00,81.0,1,0,1,119.0
2018-01-01 01:40:00,128.0,1,0,1,129.0
2018-01-01 01:45:00,104.0,1,0,1,91.0
2018-01-01 01:50:00,111.0,1,0,1,103.0
2018-01-01 01:55:00,116.0,1,0,1,76.0
2018-01-01 02:00:00,96.0,2,0,1,85.0
2018-01-01 02:05:00,92.0,2,0,1,103.0
2018-01-01 02:10:00,89.0,2,0,1,66.0
2018-01-01 02:15:00,103.0,2,0,1,73.0
2018-01-01 02:20:00,108.0,2,0,1,68.0
2018-01-01 02:25:00,89.0,2,0,1,70.0
2018-01-01 02:30:00,89.0,2,0,1,75.0
2018-01-01 02:35:00,87.0,2,0,1,69.0
2018-01-01 02:40:00,88.0,2,0,1,72.0
2018-01-01 02:45:00,80.0,2,0,1,73.0
2018-01-01 02:50:00,78.0,2,0,1,65.0
2018-01-01 02:55:00,88.0,2,0,1,57.0
2018-01-01 03:00:00,85.0,3,0,1,48.0
2018-01-01 03:05:00,70.0,3,0,1,59.0
2018-01-01 03:10:00,56.0,3,0,1,62.0
2018-01-01 03:15:00,83.0,3,0,1,59.0
2018-01-01 03:20:00,60.0,3,0,1,54.0
2018-01-01 03:25:00,62.0,3,0,1,58.0
2018-01-01 03:30:00,67.0,3,0,1,53.0
2018-01-01 03:35:00,72.0,3,0,1,45.0
2018-01-01 03:40:00,59.0,3,0,1,50.0
2018-01-01 03:45:00,75.0,3,0,1,55.0
2018-01-01 03:50:00,66.0,3,0,1,34.0
2018-01-01 03:55:00,60.0,3,0,1,41.0
2018-01-01 04:00:00,54.0,4,0,1,27.0
2018-01-01 04:05:00,36.0,4,0,1,43.0
2018-01-01 04:10:00,53.0,4,0,1,36.0
2018-01-01 04:15:00,54.0,4,0,1,33.0
2018-01-01 04:20:00,58.0,4,0,1,42.0
2018-01-01 04:25:00,51.0,4,0,1,20.0
2018-01-01 04:30:00,45.0,4,0,1,38.0
2018-01-01 04:35:00,70.0,4,0,1,32.0
2018-01-01 04:40:00,55.0,4,0,1,36.0
2018-01-01 04:45:00,66.0,4,0,1,44.0
2018-01-01 04:50:00,54.0,4,0,1,34.0
2018-01-01 04:55:00,58.0,4,0,1,31.0
2018-01-01 05:00:00,50.0,5,0,1,17.0
2018-01-01 05:05:00,42.0,5,0,1,30.0
2018-01-01 05:10:00,56.0,5,0,1,22.0
2018-01-01 05:15:00,48.0,5,0,1,29.0
2018-01-01 05:20:00,68.0,5,0,1,39.0
2018-01-01 05:25:00,47.0,5,0,1,26.0
2018-01-01 05:30:00,51.0,5,0,1,44.0
2018-01-01 05:35:00,55.0,5,0,1,43.0
2018-01-01 05:40:00,67.0,5,0,1,44.0
2018-01-01 05:45:00,77.0,5,0,1,49.0
2018-01-01 05:50:00,67.0,5,0,1,34.0
2018-01-01 05:55:00,51.0,5,0,1,48.0
2018-01-01 06:00:00,59.0,6,0,1,30.0
2018-01-01 06:05:00,57.0,6,0,1,64.0
2018-01-01 06:10:00,84.0,6,0,1,58.0
2018-01-01 06:15:00,77.0,6,0,1,69.0
2018-01-01 06:20:00,79.0,6,0,1,63.0
2018-01-01 06:25:00,85.0,6,0,1,67.0
2018-01-01 06:30:00,83.0,6,0,1,71.0
2018-01-01 06:35:00,80.0,6,0,1,78.0
2018-01-01 06:40:00,114.0,6,0,1,76.0
2018-01-01 06:45:00,109.0,6,0,1,73.0
2018-01-01 06:50:00,104.0,6,0,1,93.0
2018-01-01 06:55:00,90.0,6,0,1,53.0
